08XXx,6k1/6p1/7b/pp1NB2p/3P4/2P3RP/PP2Q1PK/2q2r2 w - - 1 39,g3f3 f1h1 h2g3 h5h4 g3f2 c1g1,2007,75,95,4213,long mate mateIn3 middlegame,https://lichess.org/3v2YUUpL#77,
0935z,2k5/1p4R1/1pPp1B2/1P3p1p/4pP1P/r3K3/r7/2R5 w - - 3 34,e3d4 a3d3 d4c4 a2a4,2175,76,95,4567,endgame mate mateIn2 short,https://lichess.org/DUX12sP1#67,
09Yyy,5rk1/R5p1/1p2pq1p/1P1p3Q/1brN4/4P3/5PPP/5RK1 w - - 2 30,h5g4 f6f2 f1f2 c4c1 g4d1 c1d1 f2f1 f8f1,2021,101,52,26,kingsideAttack mate mateIn4 middlegame sacrifice veryLong,https://lichess.org/QxxSXTwq#59,
09nQI,6k1/8/4p2p/2b1P3/1p6/5qNp/PR1Q3B/6K1 w - - 3 36,d2f2 f3g2,2020,76,95,11027,endgame mate mateIn1 oneMove pin,https://lichess.org/DsZLWBKA#71,
09qfQ,5r1k/PQN2q2/3p3p/4pn2/8/2PP4/5bPp/R4R1K w - - 0 33,f1f2 f5g3 h1h2 f7h5 h2g1 h5h1,2153,86,83,123,long mate mateIn3 middlegame,https://lichess.org/mF8q7PVi#65,
0A5s6,5rk1/p1p2ppp/1rB2q2/3p4/3Pb3/2Q1P3/PP3PPP/R4RK1 w - - 1 17,c6a4 f6f3 g2f3 b6g6 g1h1 e4f3,2266,80,86,345,clearance intermezzo kingsideAttack long mate mateIn3 middlegame sacrifice,https://lichess.org/7AyYWJxD#33,Queens_Gambit_Declined Queens_Gambit_Declined_Marshall_Defense
0ARH6,r1b1qknN/pppnbppp/8/3N3Q/3P1p2/8/PPP3PP/R1B1KB1R w KQ - 3 13,d5c7 e7h4 e1d2 e8e3 d2d1 e3e1,2294,80,86,176,doubleCheck exposedKing long mate mateIn3 opening,https://lichess.org/iOBL0hZT#25,Vienna_Game Vienna_Game_Vienna_Gambit
0AXza,8/5k2/p7/3N1bp1/1P1B1P1p/P3K1bP/3R2P1/4r3 w - - 1 53,e3f3 g5g4 h3g4 f5e4,2181,79,87,489,endgame master mate mateIn2 short,https://lichess.org/H8dfqWu6#105,
0B4Hl,r3k1nr/p4p1p/b1n5/3pP3/1ppP2pN/2P1q1P1/PPK1B1P1/RN1Q1R2 w kq - 2 18,h4f5 b4b3 a2b3 c6b4 c3b4 c4b3,2681,90,94,1807,intermezzo long mate mateIn3 middlegame sacrifice,https://lichess.org/96v2rfLV#35,Kings_Gambit_Accepted Kings_Gambit_Accepted_Modern_Defense
0BAXi,5r1k/1Q6/p2pB1pp/3Pp3/3pP3/3P2PP/PP4RK/5qb1 w - - 3 30,h2h1 g1f2 h1h2 f2g3 g2g3 f8f2 g3g2 f2g2,2097,75,94,290,clearance discoveredAttack endgame exposedKing kingsideAttack mate mateIn4 sacrifice veryLong,https://lichess.org/Ktt7agOe#59,
